,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
31,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Home,D,1,1,Luton Town,2.7,0.8,49,25103,Joel Ward,03/04/2003,Sunny Singh,Match Report,,21,4,16.5,0,0,0,2024,CrystalPalace
32,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,D,1,1,Nott'ham Forest,1.2,0.9,41,29520,Joel Ward,03/04/2003,Chris Kavanagh,Match Report,,10,3,18.4,0,0,0,2024,CrystalPalace
33,02/04/2024,19:45,Premier League,Matchweek 31,Tue,Away,L,0,1,Bournemouth,0.2,1.1,50,11058,Joel Ward,03/04/2003,Graham Scott,Match Report,,3,2,15,0,0,0,2024,CrystalPalace
34,06/04/2024,12:30,Premier League,Matchweek 32,Sat,Home,L,2,4,Manchester City,1.1,1.9,25,25132,Joel Ward,03/04/2003,Paul Tierney,Match Report,,7,4,16.8,0,0,0,2024,CrystalPalace
35,14/04/2024,14:00,Premier League,Matchweek 33,Sun,Away,W,1,0,Liverpool,2,2.7,31,60090,Joachim Andersen,03/04/2003,Chris Kavanagh,Match Report,,8,4,14.1,0,0,0,2024,CrystalPalace
36,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Home,W,5,2,West Ham,2.4,1.3,60,25145,Joachim Andersen,03/04/2003,Graham Scott,Match Report,,18,7,16.6,1,0,0,2024,CrystalPalace
37,24/04/2024,20:00,Premier League,Matchweek 29,Wed,Home,W,2,0,Newcastle Utd,0.9,0.4,47,25002,Joachim Andersen,03/04/2003,Thomas Bramall,Match Report,,20,7,21.2,3,0,0,2024,CrystalPalace
38,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Away,D,1,1,Fulham,1,1.1,47,24142,Joachim Andersen,03/04/2003,Stuart Attwell,Match Report,,14,4,19.7,0,0,0,2024,CrystalPalace
39,06/05/2024,20:00,Premier League,Matchweek 36,Mon,Home,W,4,0,Manchester Utd,1.7,0.4,43,25190,Joachim Andersen,03/04/2003,Jarred Gillett,Match Report,,18,10,16.8,0,0,0,2024,CrystalPalace
40,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,W,3,1,Wolves,2.6,1.6,38,31424,Joachim Andersen,03/04/2003,Thomas Bramall,Match Report,,13,3,13.6,0,0,0,2024,CrystalPalace
41,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,W,5,0,Aston Villa,2.5,0.9,54,25191,Marc Guéhi,03/04/2003,Darren Bond,Match Report,,15,9,16.8,0,0,0,2024,CrystalPalace
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Luton Town,4,1.5,70,31872,Lewis Dunk,4-2-3-1,David Coote,Match Report,,26,11,17,0,1,1,2024,BrightonandHoveAlbion
1,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,W,4,1,Wolves,2.2,2.1,53,31317,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,16,8,15.6,0,0,0,2024,BrightonandHoveAlbion
2,26/08/2023,17:30,Premier League,Matchweek 3,Sat,Home,L,1,3,West Ham,1.5,3,78,31508,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,25,10,19.5,1,0,0,2024,BrightonandHoveAlbion
3,02/09/2023,17:30,Premier League,Matchweek 4,Sat,Home,W,3,1,Newcastle Utd,1.3,1.2,56,31620,Lewis Dunk,4-2-3-1,Stuart Attwell,Match Report,,15,6,17.3,0,0,0,2024,BrightonandHoveAlbion
4,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Manchester Utd,1.7,1,56,73592,Lewis Dunk,4-2-3-1,Jarred Gillett,Match Report,,10,8,17.1,0,0,0,2024,BrightonandHoveAlbion
6,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,Bournemouth,1.9,1.1,61,31617,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,13,4,17.1,0,0,0,2024,BrightonandHoveAlbion
8,30/09/2023,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1.7,1.6,61,40636,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,11,3,15.4,0,0,0,2024,BrightonandHoveAlbion
10,08/10/2023,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Liverpool,2.3,2.3,46,31752,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,14,3,16.9,2,0,0,2024,BrightonandHoveAlbion
11,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Manchester City,0.8,0.8,45,53466,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,,5,3,12.1,0,0,0,2024,BrightonandHoveAlbion
13,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Home,D,1,1,Fulham,1.4,0.7,71,31550,Lewis Dunk,03/04/2003,Michael Salisbury,Match Report,,18,6,18.1,1,0,0,2024,BrightonandHoveAlbion
14,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,D,1,1,Everton,0.5,0.7,79,38683,Lewis Dunk,04/03/2003,Tim Robinson,Match Report,,7,2,15.6,1,0,0,2024,BrightonandHoveAlbion
16,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Home,D,1,1,Sheffield Utd,1.5,1.1,61,31367,Pascal Groß,4-2-3-1,John Brooks,Match Report,,11,6,16.5,0,0,0,2024,BrightonandHoveAlbion
17,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,W,3,2,Nott'ham Forest,1.3,1.9,53,29404,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,,9,4,19.9,1,1,1,2024,BrightonandHoveAlbion
19,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Away,L,2,3,Chelsea,1.1,2.1,68,39647,Adam Lallana,4-2-3-1,Craig Pawson,Match Report,,18,9,18.6,1,0,0,2024,BrightonandHoveAlbion
20,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Home,W,2,1,Brentford,1.5,1.5,61,31571,Pascal Groß,4-2-3-1,Peter Bankes,Match Report,,18,7,16.1,0,0,0,2024,BrightonandHoveAlbion
21,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Home,D,1,1,Burnley,2.6,0.6,72,31511,Lewis Dunk,4-2-3-1,Simon Hooper,Match Report,,29,11,14.2,2,0,0,2024,BrightonandHoveAlbion
23,17/12/2023,14:00,Premier League,Matchweek 17,Sun,Away,L,0,2,Arsenal,0.7,2.3,51,60257,Lewis Dunk,4-2-3-1,Tim Robinson,Match Report,,6,1,16.9,0,0,0,2024,BrightonandHoveAlbion
24,21/12/2023,20:00,Premier League,Matchweek 18,Thu,Away,D,1,1,Crystal Palace,1.2,1.3,65,24171,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,18,6,17.6,0,0,0,2024,BrightonandHoveAlbion
25,28/12/2023,19:30,Premier League,Matchweek 19,Thu,Home,W,4,2,Tottenham,3.2,2.3,45,31675,Lewis Dunk,4-1-2-1-2◆,Jarred Gillett,Match Report,,13,7,15.2,0,2,2,2024,BrightonandHoveAlbion
26,02/01/2024,19:30,Premier League,Matchweek 20,Tue,Away,D,0,0,West Ham,2.3,0.7,68,62462,Pascal Groß,4-3-1-2,Samuel Barrott,Match Report,,22,8,14.4,0,0,0,2024,BrightonandHoveAlbion
28,22/01/2024,19:45,Premier League,Matchweek 21,Mon,Home,D,0,0,Wolves,1,1.1,72,41505,Lewis Dunk,04/03/2003,Craig Pawson,Match Report,,11,3,14.2,0,0,0,2024,BrightonandHoveAlbion
30,30/01/2024,19:45,Premier League,Matchweek 22,Tue,Away,L,0,4,Luton Town,0.9,3.1,59,10994,Lewis Dunk,03/04/2003,Robert Jones,Match Report,,9,2,13.9,0,0,0,2024,BrightonandHoveAlbion
31,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Home,W,4,1,Crystal Palace,1.4,0.3,68,31345,Lewis Dunk,03/04/2003,Simon Hooper,Match Report,,13,6,16.7,0,0,0,2024,BrightonandHoveAlbion
32,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,2,Tottenham,1.2,1.6,48,61445,Lewis Dunk,4-2-3-1,Samuel Barrott,Match Report,,5,2,17.8,0,1,1,2024,BrightonandHoveAlbion
33,18/02/2024,14:00,Premier League,Matchweek 25,Sun,Away,W,5,0,Sheffield Utd,2.9,0.6,79,29522,Lewis Dunk,4-2-3-1,Stuart Attwell,Match Report,,24,9,15.1,0,0,0,2024,BrightonandHoveAlbion
34,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Home,D,1,1,Everton,1.4,0.3,64,41646,Lewis Dunk,4-2-3-1,Tony Harrington,Match Report,,23,7,16.3,1,0,0,2024,BrightonandHoveAlbion
36,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Away,L,0,3,Fulham,1.3,1.3,70,24460,Lewis Dunk,03/04/2003,Simon Hooper,Match Report,,15,5,17.6,0,0,0,2024,BrightonandHoveAlbion
38,10/03/2024,14:00,Premier League,Matchweek 28,Sun,Home,W,1,0,Nott'ham Forest,0.4,0.7,63,31505,Lewis Dunk,4-2-3-1,Michael Salisbury,Match Report,,10,3,17.5,0,0,0,2024,BrightonandHoveAlbion
40,31/03/2024,14:00,Premier League,Matchweek 30,Sun,Away,L,1,2,Liverpool,0.5,2.8,45,60061,Lewis Dunk,4-2-3-1,David Coote,Match Report,,9,3,17.2,0,0,0,2024,BrightonandHoveAlbion
41,03/04/2024,19:30,Premier League,Matchweek 31,Wed,Away,D,0,0,Brentford,1.1,0.6,66,17024,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,,24,6,20.1,0,0,0,2024,BrightonandHoveAlbion
42,06/04/2024,17:30,Premier League,Matchweek 32,Sat,Home,L,0,3,Arsenal,0.5,3.4,54,31677,Lewis Dunk,4-2-3-1,John Brooks,Match Report,,10,2,19.2,0,0,0,2024,BrightonandHoveAlbion
43,13/04/2024,15:00,Premier League,Matchweek 33,Sat,Away,D,1,1,Burnley,0.9,1.7,56,20687,Lewis Dunk,4-2-3-1,Simon Hooper,Match Report,,20,8,18.4,1,0,0,2024,BrightonandHoveAlbion
44,25/04/2024,20:00,Premier League,Matchweek 29,Thu,Home,L,0,4,Manchester City,0.6,1.4,36,31596,Lewis Dunk,4-2-3-1,Jarred Gillett,Match Report,,7,3,16,0,0,0,2024,BrightonandHoveAlbion
45,28/04/2024,14:00,Premier League,Matchweek 35,Sun,Away,L,0,3,Bournemouth,0.9,1.9,69,11188,Lewis Dunk,4-2-3-1,Paul Tierney,Match Report,,13,1,16.5,0,0,0,2024,BrightonandHoveAlbion
46,05/05/2024,14:00,Premier League,Matchweek 36,Sun,Home,W,1,0,Aston Villa,2.5,0.1,52,31596,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,,14,7,16.3,0,0,1,2024,BrightonandHoveAlbion
47,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Away,D,1,1,Newcastle Utd,1.4,2.2,43,51997,Lewis Dunk,4-2-3-1,Darren England,Match Report,,15,4,16.2,0,0,0,2024,BrightonandHoveAlbion
48,15/05/2024,19:45,Premier League,Matchweek 34,Wed,Home,L,1,2,Chelsea,1.3,1.5,55,31555,Lewis Dunk,4-2-3-1,Michael Salisbury,Match Report,,12,2,15.3,0,0,0,2024,BrightonandHoveAlbion
49,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Home,L,0,2,Manchester Utd,1.7,1.3,55,31662,Adam Lallana,4-2-3-1,Craig Pawson,Match Report,,17,2,14.2,0,0,0,2024,BrightonandHoveAlbion
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Home,D,1,1,West Ham,1.3,1.1,62,11245,Neto,4-2-3-1,Peter Bankes,Match Report,,14,5,20.7,1,0,0,2024,Bournemouth
1,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Away,L,1,3,Liverpool,1.3,3,36,53145,Neto,4-2-3-1,Thomas Bramall,Match Report,,13,5,19.7,1,0,0,2024,Bournemouth
2,26/08/2023,12:30,Premier League,Matchweek 3,Sat,Home,L,0,2,Tottenham,0.7,2.1,44,10567,Neto,4-2-3-1,Tim Robinson,Match Report,,11,3,17.8,0,0,0,2024,Bournemouth
4,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Brentford,2.1,2.9,40,16973,Neto,4-2-3-1,Robert Madley,Match Report,,12,5,15.1,0,0,0,2024,Bournemouth
5,17/09/2023,14:00,Premier League,Matchweek 5,Sun,Home,D,0,0,Chelsea,1,1.8,36,10421,Neto,4-2-3-1,David Coote,Match Report,,13,4,16.7,1,0,0,2024,Bournemouth
6,24/09/2023,14:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Brighton,1.1,1.9,39,31617,Neto,4-2-3-1,John Brooks,Match Report,,12,3,17.6,1,0,0,2024,Bournemouth
8,30/09/2023,15:00,Premier League,Matchweek 7,Sat,Home,L,0,4,Arsenal,0.6,3.4,43,11193,Neto,4-2-3-1,Michael Salisbury,Match Report,,8,1,14.1,0,0,0,2024,Bournemouth
9,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Away,L,0,3,Everton,0.7,2.4,52,38815,Neto,4-2-3-1,David Coote,Match Report,,11,3,16.2,0,0,0,2024,Bournemouth
10,21/10/2023,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Wolves,0.6,2.4,35,11175,Neto,4-2-3-1,Paul Tierney,Match Report,,7,4,17.1,0,0,0,2024,Bournemouth
11,28/10/2023,15:00,Premier League,Matchweek 10,Sat,Home,W,2,1,Burnley,1.1,0.8,45,11152,Lloyd Kelly,4-2-3-1,Samuel Barrott,Match Report,,13,6,19.5,2,0,0,2024,Bournemouth
13,04/11/2023,15:00,Premier League,Matchweek 11,Sat,Away,L,1,6,Manchester City,0.9,1.9,35,53358,Lloyd Kelly,05/04/2001,Craig Pawson,Match Report,,5,1,11.4,0,0,0,2024,Bournemouth
14,11/11/2023,17:30,Premier League,Matchweek 12,Sat,Home,W,2,0,Newcastle Utd,2.4,0.5,48,11201,Neto,4-2-3-1,Chris Kavanagh,Match Report,,19,10,14.9,0,0,0,2024,Bournemouth
15,25/11/2023,15:00,Premier League,Matchweek 13,Sat,Away,W,3,1,Sheffield Utd,2.9,0.8,54,30208,Neto,4-2-3-1,Andy Madley,Match Report,,23,11,15.7,0,0,0,2024,Bournemouth
16,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Home,D,2,2,Aston Villa,2,0.7,38,11191,Neto,4-2-3-1,Thomas Bramall,Match Report,,15,7,13.6,0,0,0,2024,Bournemouth
17,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Away,W,2,0,Crystal Palace,1.8,1,41,25078,Neto,4-2-3-1,Craig Pawson,Match Report,,11,4,11.5,0,0,0,2024,Bournemouth
18,09/12/2023,15:00,Premier League,Matchweek 16,Sat,Away,W,3,0,Manchester Utd,1.5,1.1,32,73427,Neto,4-2-3-1,Peter Bankes,Match Report,,10,4,12.7,0,0,0,2024,Bournemouth
19,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Away,W,3,2,Nott'ham Forest,1.6,1,66,29188,Neto,4-2-3-1,Robert Jones,Match Report,,18,6,15.9,1,0,0,2024,Bournemouth
20,26/12/2023,15:00,Premier League,Matchweek 19,Tue,Home,W,3,0,Fulham,1.8,0.3,43,11099,Neto,4-2-3-1,Tim Robinson,Match Report,,15,3,18.5,0,1,1,2024,Bournemouth
21,31/12/2023,14:00,Premier League,Matchweek 20,Sun,Away,L,1,3,Tottenham,1.7,2.3,50,61780,Neto,4-2-3-1,Simon Hooper,Match Report,,24,4,17.2,1,0,0,2024,Bournemouth
23,21/01/2024,16:30,Premier League,Matchweek 21,Sun,Home,L,0,4,Liverpool,1.4,1.5,40,11228,Neto,4-2-3-1,Andy Madley,Match Report,,11,1,19.8,0,0,0,2024,Bournemouth
25,01/02/2024,19:30,Premier League,Matchweek 22,Thu,Away,D,1,1,West Ham,1.2,1.4,52,62478,Neto,4-2-3-1,Tim Robinson,Match Report,,9,4,17.2,0,0,0,2024,Bournemouth
26,04/02/2024,14:00,Premier League,Matchweek 23,Sun,Home,D,1,1,Nott'ham Forest,1.3,0.5,45,11200,Neto,4-2-3-1,Rebecca Welch,Match Report,,9,1,16.7,1,0,0,2024,Bournemouth
27,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Away,L,1,3,Fulham,1.8,1.6,51,24271,Neto,4-2-3-1,Darren England,Match Report,,25,4,16.7,1,0,0,2024,Bournemouth
28,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Away,D,2,2,Newcastle Utd,2.2,2.2,38,52224,Neto,4-2-3-1,Michael Salisbury,Match Report,,12,6,20.3,0,0,0,2024,Bournemouth
29,24/02/2024,17:30,Premier League,Matchweek 26,Sat,Home,L,0,1,Manchester City,0.9,1.6,38,11184,Neto,4-2-3-1,Jarred Gillett,Match Report,,13,4,17.1,0,0,0,2024,Bournemouth
31,03/03/2024,13:00,Premier League,Matchweek 27,Sun,Away,W,2,0,Burnley,1.1,1.5,26,19713,Neto,4-2-3-1,David Coote,Match Report,,10,3,15.1,1,0,0,2024,Bournemouth
32,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Home,D,2,2,Sheffield Utd,3.3,1.2,69,11074,Neto,4-2-3-1,Anthony Taylor,Match Report,,31,11,16.9,0,0,1,2024,Bournemouth
33,13/03/2024,19:30,Premier League,Matchweek 17,Wed,Home,W,4,3,Luton Town,2.3,2,59,11198,Neto,4-2-3-1,Samuel Allison,Match Report,,24,9,15.5,0,0,0,2024,Bournemouth
34,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Home,W,2,1,Everton,1.3,1,48,11207,Neto,4-2-3-1,Samuel Barrott,Match Report,,11,4,15.6,1,0,0,2024,Bournemouth
35,02/04/2024,19:45,Premier League,Matchweek 31,Tue,Home,W,1,0,Crystal Palace,1.1,0.2,50,11058,Neto,04/03/2003,Graham Scott,Match Report,,11,6,18.7,2,0,0,2024,Bournemouth
36,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Away,L,1,2,Luton Town,0.4,1.5,45,11797,Neto,4-2-3-1,Andy Madley,Match Report,,8,1,19.1,1,0,0,2024,Bournemouth
37,13/04/2024,17:30,Premier League,Matchweek 33,Sat,Home,D,2,2,Manchester Utd,1.6,1.2,43,11229,Neto,4-2-3-1,Tony Harrington,Match Report,,20,5,16.8,1,0,0,2024,Bournemouth
38,21/04/2024,15:00,Premier League,Matchweek 34,Sun,Away,L,1,3,Aston Villa,1.8,2.4,44,42189,Neto,4-2-3-1,Tim Robinson,Match Report,,13,4,16.4,0,1,1,2024,Bournemouth
39,24/04/2024,19:45,Premier League,Matchweek 29,Wed,Away,W,1,0,Wolves,1.9,0.5,37,25541,Adam Smith,4-2-3-1,Stuart Attwell,Match Report,,21,6,16.7,0,0,0,2024,Bournemouth
40,28/04/2024,14:00,Premier League,Matchweek 35,Sun,Home,W,3,0,Brighton,1.9,0.9,31,11188,Adam Smith,04/04/2002,Paul Tierney,Match Report,,15,6,14.4,1,0,0,2024,Bournemouth
41,04/05/2024,12:30,Premier League,Matchweek 36,Sat,Away,L,0,3,Arsenal,0.5,3.3,45,60348,Adam Smith,04/03/2003,David Coote,Match Report,,7,2,20.4,1,0,0,2024,Bournemouth
42,11/05/2024,15:00,Premier League,Matchweek 37,Sat,Home,L,1,2,Brentford,0.7,1.1,48,11154,Adam Smith,4-2-3-1,Matt Donohue,Match Report,,13,4,17.1,0,0,0,2024,Bournemouth
43,19/05/2024,16:00,Premier League,Matchweek 38,Sun,Away,L,1,2,Chelsea,2.2,1.1,39,39724,Neto,4-2-3-1,Anthony Taylor,Match Report,,22,5,16.8,0,0,0,2024,Bournemouth
0,12/08/2023,15:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58,39940,Tom Cairney,04/03/2003,Stuart Attwell,Match Report,,9,2,13.2,0,0,0,2024,Fulham
1,19/08/2023,15:00,Premier League,Matchweek 2,Sat,Home,L,0,3,Brentford,0.5,3.7,55,24236,Tim Ream,04/03/2003,Darren Bond,Match Report,,10,2,22.3,1,0,0,2024,Fulham
2,26/08/2023,15:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Arsenal,0.6,3.2,29,59961,Bobby Reid,04/03/2003,Paul Tierney,Match Report,,8,3,17.8,0,0,0,2024,Fulham
4,02/09/2023,15:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32,52899,Tom Cairney,04/03/2003,Michael Oliver,Match Report,,6,4,11.4,0,0,0,2024,Fulham
5,16/09/2023,15:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1,1.1,77,24467,Tim Ream,04/03/2003,Michael Salisbury,Match Report,,13,2,19.5,2,0,0,2024,Fulham
6,23/09/2023,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49,25072,Tim Ream,04/03/2003,Paul Tierney,Match Report,,10,5,18.7,1,0,0,2024,Fulham
8,02/10/2023,20:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56,24445,Tim Ream,04/03/2003,Tim Robinson,Match Report,,10,3,13.2,0,0,0,2024,Fulham
9,07/10/2023,15:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60,24361,Tim Ream,04/03/2003,Samuel Barrott,Match Report,,20,6,20.2,0,0,0,2024,Fulham
10,23/10/2023,20:00,Premier League,Matchweek 9,Mon,Away,L,0,2,Tottenham,1,1.5,45,61286,Tim Ream,4-2-3-1,Anthony Taylor,Match Report,,10,3,17.6,0,0,0,2024,Fulham
11,29/10/2023,14:00,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.7,1.4,29,31550,Tim Ream,4-2-3-1,Michael Salisbury,Match Report,,10,5,19.3,0,0,0,2024,Fulham
13,04/11/2023,12:30,Premier League,Matchweek 11,Sat,Home,L,0,1,Manchester Utd,1,0.7,45,24415,Tim Ream,4-2-3-1,John Brooks,Match Report,,18,2,18.6,1,0,0,2024,Fulham
14,12/11/2023,14:00,Premier League,Matchweek 12,Sun,Away,L,1,3,Aston Villa,0.9,3,49,41608,Tim Ream,4-2-3-1,Simon Hooper,Match Report,,9,5,19.5,0,0,0,2024,Fulham
15,27/11/2023,20:00,Premier League,Matchweek 13,Mon,Home,W,3,2,Wolves,2.9,1.4,60,24366,Tom Cairney,4-2-3-1,Michael Salisbury,Match Report,,10,4,22.9,0,2,2,2024,Fulham
16,03/12/2023,14:00,Premier League,Matchweek 14,Sun,Away,L,3,4,Liverpool,1.2,2.1,39,50124,Tim Ream,4-2-3-1,Stuart Attwell,Match Report,,9,5,13.3,0,0,0,2024,Fulham
17,06/12/2023,19:30,Premier League,Matchweek 15,Wed,Home,W,5,0,Nott'ham Forest,2.5,0.3,63,24105,Tom Cairney,4-2-3-1,Joshua Smith,Match Report,,14,6,17.3,1,0,0,2024,Fulham
18,10/12/2023,14:00,Premier League,Matchweek 16,Sun,Home,W,5,0,West Ham,2.3,1.3,63,23988,Tom Cairney,4-2-3-1,Paul Tierney,Match Report,,14,8,17.7,0,0,0,2024,Fulham
19,16/12/2023,15:00,Premier League,Matchweek 17,Sat,Away,L,0,3,Newcastle Utd,0.3,3.5,30,52055,Tom Cairney,4-2-3-1,Samuel Barrott,Match Report,,6,4,23.1,0,0,0,2024,Fulham
21,23/12/2023,15:00,Premier League,Matchweek 18,Sat,Home,L,0,2,Burnley,1.3,0.4,66,23598,Tom Cairney,4-2-3-1,Rebecca Welch,Match Report,,19,5,16.3,1,0,0,2024,Fulham
22,26/12/2023,15:00,Premier League,Matchweek 19,Tue,Away,L,0,3,Bournemouth,0.3,1.8,57,11099,Tom Cairney,4-2-3-1,Tim Robinson,Match Report,,8,3,21.6,1,0,0,2024,Fulham
23,31/12/2023,14:00,Premier League,Matchweek 20,Sun,Home,W,2,1,Arsenal,1.2,1.6,40,24444,Tom Cairney,4-2-3-1,Joshua Smith,Match Report,,15,4,18.2,1,0,0,2024,Fulham
26,13/01/2024,12:30,Premier League,Matchweek 21,Sat,Away,L,0,1,Chelsea,0.8,2.2,45,39643,Tom Cairney,4-2-3-1,Anthony Taylor,Match Report,,14,4,22,2,0,0,2024,Fulham
29,30/01/2024,19:45,Premier League,Matchweek 22,Tue,Home,D,0,0,Everton,1.6,1.9,70,24376,Tom Cairney,4-2-3-1,Thomas Bramall,Match Report,,25,5,17.3,0,0,0,2024,Fulham
30,03/02/2024,15:00,Premier League,Matchweek 23,Sat,Away,D,2,2,Burnley,1.5,1.8,56,20203,Tim Ream,4-2-3-1,Darren Bond,Match Report,,15,7,13.2,0,0,0,2024,Fulham
31,10/02/2024,15:00,Premier League,Matchweek 24,Sat,Home,W,3,1,Bournemouth,1.6,1.8,49,24271,Tom Cairney,4-2-3-1,Darren England,Match Report,,7,6,11.4,0,0,0,2024,Fulham
32,17/02/2024,15:00,Premier League,Matchweek 25,Sat,Home,L,1,2,Aston Villa,1.5,1.5,52,24401,Tom Cairney,4-2-3-1,Lewis Smith,Match Report,,15,4,14.7,0,0,0,2024,Fulham
33,24/02/2024,15:00,Premier League,Matchweek 26,Sat,Away,W,2,1,Manchester Utd,1.2,1.7,43,73487,Harrison Reed,4-2-3-1,Michael Oliver,Match Report,,17,5,17.1,0,0,0,2024,Fulham
34,02/03/2024,15:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Brighton,1.3,1.3,30,24460,Harrison Reed,4-2-3-1,Simon Hooper,Match Report,,12,5,14.6,0,0,0,2024,Fulham
35,09/03/2024,15:00,Premier League,Matchweek 28,Sat,Away,L,1,2,Wolves,2.6,0.8,52,30860,Harrison Reed,4-2-3-1,Tony Harrington,Match Report,,23,6,14.1,0,0,0,2024,Fulham
36,16/03/2024,17:30,Premier League,Matchweek 29,Sat,Home,W,3,0,Tottenham,2.6,2.4,43,24410,Bernd Leno,4-2-3-1,Robert Jones,Match Report,,16,7,12.7,0,0,0,2024,Fulham
37,30/03/2024,15:00,Premier League,Matchweek 30,Sat,Away,D,3,3,Sheffield Utd,1.3,1.9,73,30010,Bernd Leno,4-2-3-1,Tim Robinson,Match Report,,24,9,17.6,0,0,0,2024,Fulham
38,02/04/2024,19:30,Premier League,Matchweek 31,Tue,Away,L,1,3,Nott'ham Forest,1.5,1.5,66,28997,Bernd Leno,4-2-3-1,Michael Oliver,Match Report,,18,3,12.3,0,0,0,2024,Fulham
39,06/04/2024,15:00,Premier League,Matchweek 32,Sat,Home,L,0,1,Newcastle Utd,1.2,1,66,24418,Tom Cairney,4-2-3-1,Samuel Allison,Match Report,,14,4,17.6,0,0,0,2024,Fulham
40,14/04/2024,14:00,Premier League,Matchweek 33,Sun,Away,W,2,0,West Ham,3.2,0.9,42,62459,Bernd Leno,4-2-3-1,Stuart Attwell,Match Report,,18,10,15.1,0,0,0,2024,Fulham
41,21/04/2024,16:30,Premier League,Matchweek 34,Sun,Home,L,1,3,Liverpool,0.8,1,40,24414,Bobby Reid,4-2-3-1,Craig Pawson,Match Report,,12,5,17.1,1,0,0,2024,Fulham
42,27/04/2024,15:00,Premier League,Matchweek 35,Sat,Home,D,1,1,Crystal Palace,1.1,1,53,24142,Harrison Reed,4-2-3-1,Stuart Attwell,Match Report,,9,2,14.9,0,0,0,2024,Fulham
43,04/05/2024,15:00,Premier League,Matchweek 36,Sat,Away,D,0,0,Brentford,1.3,0.6,46,17090,Bernd Leno,4-2-3-1,Graham Scott,Match Report,,15,3,17.4,0,0,0,2024,Fulham
